id,date,cod_account,account,short_class,class,transaction_type,name,memodescription,revenueexpenses,amount
38,2022-03-31,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,600
39,2022-03-31,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,1600
40,2022-04-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,April SaaS Subscription,REVENUE,46500
41,2022-04-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,April SaaS Subscription,REVENUE,39500
42,2022-04-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,78000
43,2022-04-05,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - April,EXPENSES,2150
44,2022-04-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,1560
45,2022-04-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,5300
46,2022-04-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,8800
47,2022-04-15,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,6650
48,2022-04-15,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,4650
49,2022-04-20,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,2700
50,2022-04-25,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4800
51,2022-04-30,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,620
52,2022-04-30,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,1650
53,2022-05-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,May SaaS Subscription,REVENUE,47000
54,2022-05-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,May SaaS Subscription,REVENUE,40000
55,2022-05-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,79000
56,2022-05-05,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - May,EXPENSES,2200
57,2022-05-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,1580
58,2022-05-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,5400
59,2022-05-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,8900
60,2022-05-15,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,6700
61,2022-05-15,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,4700
62,2022-05-20,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,2750
63,2022-05-25,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4900
64,2022-05-31,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,640
65,2022-05-31,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,1700
66,2022-06-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,June SaaS Subscription,REVENUE,47500
67,2022-06-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,June SaaS Subscription,REVENUE,40500
68,2022-06-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,80000
69,2022-06-05,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - June,EXPENSES,2250
70,2022-06-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,1600
71,2022-06-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,5500
72,2022-06-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,9000
73,2022-06-15,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,6750
74,2022-06-15,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,4750
75,2022-06-20,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,2800
76,2022-06-25,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,5000
77,2022-06-30,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,660
78,2022-06-30,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,1750
79,2022-07-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,July SaaS Subscription,REVENUE,47800
80,2022-07-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,July SaaS Subscription,REVENUE,40200
81,2022-07-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,July SaaS Subscription,REVENUE,22500
82,2022-07-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,62000
83,2022-07-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,78500
84,2022-07-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - July,EXPENSES,28900
85,2022-07-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,6250
86,2022-07-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,15500
87,2022-07-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,9200
88,2022-07-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2100
89,2022-07-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1600
90,2022-07-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4700
91,2022-07-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,15500
92,2022-07-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,2600
93,2022-07-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,2350
94,2022-07-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,54000
95,2022-07-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4650
96,2022-07-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,8800
97,2022-07-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,July SaaS Subscription,REVENUE,18500
98,2022-07-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,45000
99,2022-07-15,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,5200
100,2022-07-15,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,7800
101,2022-07-15,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,46500
102,2022-07-15,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,87500
103,2022-07-15,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,67000
104,2022-07-15,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,56500
105,2022-07-15,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,3720
106,2022-07-15,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,7000
107,2022-07-15,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,5360
108,2022-07-15,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,4520
109,2022-07-15,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,9300
110,2022-07-15,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,17500
111,2022-07-15,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,13400
112,2022-07-15,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,11300
113,2022-07-15,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880
114,2022-07-31,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,28500
115,2022-07-31,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,1550
116,2022-07-31,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,8800
117,2022-07-31,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,2600
118,2022-08-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,August SaaS Subscription,REVENUE,46900
119,2022-08-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,August SaaS Subscription,REVENUE,39800
120,2022-08-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,August SaaS Subscription,REVENUE,22100
121,2022-08-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,August SaaS Subscription,REVENUE,15000
122,2022-08-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,59500
123,2022-08-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,76000
124,2022-08-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - August,EXPENSES,29200
125,2022-08-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,6100
126,2022-08-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,15800
127,2022-08-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,9300
128,2022-08-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2100
129,2022-08-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1600
130,2022-08-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4700
131,2022-08-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,15500
132,2022-08-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,2650
133,2022-08-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,2400
134,2022-08-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,53200
135,2022-08-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4650
136,2022-08-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,8800
137,2022-08-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,August SaaS Subscription,REVENUE,18500
138,2022-08-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,43500
139,2022-08-15,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,5200
140,2022-08-15,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,7800
141,2022-08-15,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,46500
142,2022-08-15,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,87500
143,2022-08-15,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,67000
144,2022-08-15,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,56500
145,2022-08-15,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,3720
146,2022-08-15,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,7000
147,2022-08-15,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,5360
148,2022-08-15,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,4520
149,2022-08-15,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,9300
150,2022-08-15,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,17500
151,2022-08-15,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,13400
152,2022-08-15,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,11300
153,2022-08-15,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880
154,2022-08-31,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,28500
155,2022-08-31,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,1550
156,2022-08-31,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,8800
157,2022-08-31,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,2600
158,2022-09-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,September SaaS Subscription,REVENUE,48200
159,2022-09-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,September SaaS Subscription,REVENUE,41000
160,2022-09-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,September SaaS Subscription,REVENUE,22800
161,2022-09-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,September SaaS Subscription,REVENUE,15500
162,2022-09-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,September SaaS Subscription,REVENUE,28000
163,2022-09-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,64500
164,2022-09-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,82000
165,2022-09-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - September,EXPENSES,30100
166,2022-09-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,6300
167,2022-09-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,16200
168,2022-09-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,9500
169,2022-09-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2100
170,2022-09-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1600
171,2022-09-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4700
172,2022-09-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,15500
173,2022-09-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,2700
174,2022-09-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,2550
175,2022-09-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,57400
176,2022-09-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4650
177,2022-09-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,8800
178,2022-09-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,September SaaS Subscription,REVENUE,18500
179,2022-09-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,46500
180,2022-09-15,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,5200
181,2022-09-15,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,7800
182,2022-09-15,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,46500
183,2022-09-15,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,87500
184,2022-09-15,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,67000
185,2022-09-15,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,56500
186,2022-09-15,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,3720
187,2022-09-15,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,7000
188,2022-09-15,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,5360
189,2022-09-15,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,4520
190,2022-09-15,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,9300
191,2022-09-15,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,17500
192,2022-09-15,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,13400
193,2022-09-15,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,11300
194,2022-09-15,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880
195,2022-09-30,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,29800
196,2022-09-30,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,1550
197,2022-09-30,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,8800
198,2022-09-30,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,2600
199,2022-10-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,October SaaS Subscription,REVENUE,49500
200,2022-10-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,October SaaS Subscription,REVENUE,42000
201,2022-10-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,October SaaS Subscription,REVENUE,23500
202,2022-10-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,October SaaS Subscription,REVENUE,16000
203,2022-10-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,October SaaS Subscription,REVENUE,28500
204,2022-10-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,68000
205,2022-10-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,85000
206,2022-10-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - October,EXPENSES,31200
207,2022-10-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,6500
208,2022-10-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,18500
209,2022-10-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,10200
210,2022-10-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2100
211,2022-10-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1600
212,2022-10-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4700
